nogginId,assetName,assetId,assetType,assetDescription,organizationUnit,location,relatedEvent,relatedThreatTemplates,assetOwner,status,assetAcquisitionDate,relatedHealthAndSafetyIncident
001afd44c831376c61fe8f489042d37816182be5e5072510ee0db6d82182da63,XADAMS01,1CTU931,RIGID,Subby Adams Freight ADAMS01,,,,,,,,
0052ddf2be16435d9653a0e615ae923f73d04d63d4667885ca7bf0a702a4bffd,,Tug05,,,,,,,,approved,,
0090930b132244dad15103499c4324ec50c71e5674336e01124a4e320828b3de,MB42,1HHU684,PRIME MOVER,Mercedes Benz Actros 2646 2021,c32e5f3bb53ab8a0a90f92b147c7ae9dae6d295548b9fe49d19427172f38f024,,,,,,,
018391dab1a7e90de158c957c3c1b8269df98dc13309acdd108ecbab2d491ea5,T54,1THP318,TRAILER,Safety Liner FREIGHTER FD TAUT,e5199377e10332f49dc718156a333e16d43099b249ee6169aee80d742d358f0a,,,,,,24 Dec 2007,
01bf08d5498e78a68f1f917ae714cc642a6950d779b2419bf115d3cab22c07bb,RENTR12,77025S,TRAILER,Rental Trailer 12,,,,,,,,
02409bd3dd8355a53b3cef56e0eb6440b653bfad9579e7e602528db25cfbdc34,MB26,1HCR841,PRIME MOVER,Mercedes Benz Actros 2653 2020,86d5dc3784c50deeb6ef9695f2c62a64ae9446b053356a6475aeabc65618bf02,,,,,,19 Aug 2020,
02c90f4dcc0b28cc3129fd478e3467dc53dc739dcd79b44ee6a1d003be8674f9,XCRO13,HVE293,,Subby Crown CRO13,,,,,,,,
030e77268efc3d586b9b80a5a2fcf736f2c0ce742d6dfae475a2df44d6dd8819,GME UHF TWIN PACK,UHF PACK 1,uhf,<p>UHF Twin Pack with units SN 4050500098E &amp; 4050500097E</p>,e0054ac10641da0819054c2e6eb6985f29834d1ec30207d176dd4f66d8cdfd04,,,,,approved,22 Oct 2024,
038a79f290e509ea612556610cfd1b411a1a2dbbff32ec2a3c478e4542026d17,D27,1TSQ561,DOLLY,Dolly WESTDOL165,86d5dc3784c50deeb6ef9695f2c62a64ae9446b053356a6475aeabc65618bf02,,,,,,09 Aug 2017,
045c256e27e556dc2ad34173178e4e74b62673e3b271b079ae2d7075e254e9bf,RENTAL5,1IEK974,VEHICLE,Rental,,,,,,,,
046028d45fc2c243f2ee3f5c2cce04e4228a0ae50f1f977b75eeb8dde50771bf,T107,1TNM698,TRAILER,Metro Only FREIGHTER FT,021f22fdaea6fbe57ab8954c6fa695c63885295b7fceee5bd0bdb7c880147c1f,,,,,,10 Sep 2012,
046e24510cee913c360dbd7e5ca514b65b6c1e10e7a200f7de7cafd7f20fc3f0,TLD250,1TYF077,DROPDECK,Freighter Drop Deck,e5199377e10332f49dc718156a333e16d43099b249ee6169aee80d742d358f0a,,,,,,,
047cf6e4f536062176460aabf4c0febc353af6adaa3e540f118665d2152f580e,T283,1UBY905,TRAILER,Krueger 45 Ft,,,,,,,,
04ec3b43fcc12c7131c031f6a897e25eb343cb943866a266fcc209daf59965ed,MB98,1IVF794,PRIME MOVER,Mercedes Benz Actros 2653,,,,,,,,
05b7709eec9cb9009e1156c0f1c5556354fe6621efb07a0888f66e923d9174fb,WWT,,,Woolworths Trailer (MTM),,,,,,,,
05be7a4adda50121a56b6bd06ba48602e1a699cc59fcdef83931c26709454966,T111,1TNP203,TRAILER,Skel Tri Axle 12 MT,9fad1945c3980284df0984121f2ad0d0d9ee90155452a10f4f1831cb425562b8,,,,,,,
06124ec0c783b6355d0fa38f0f5c34b3ace4baf9800191ae8cad540096cc1f95,AL610,1HGG762,RIGID,Air Liquide Rigid Truck AL610,,,,,,,,
06152328a7a1700a222512b3704da7a48a8a11de8dbce1e01d5a5b8566bd0a3d,Rentco,Ex100,,<p>Rental trailer</p>,,,,,,expired,,
