TIP,LOOKUP_TYPE,VALUE
01bd0fca813578cb58e64351f6b120bb57c6117a32104519d9123e3f74e90b97,unknown,O_GI1  Improvement Team
021f22fdaea6fbe57ab8954c6fa695c63885295b7fceee5bd0bdb7c880147c1f,unknown,O_GO335  Steel Delivery
06803fef2d8c073af2d51d9aba1c7890903d0b95a458fd3d09234055d586ff7c,unknown,O_GF3  Payroll
075508007a81e71d3850e8c808303c6bf8ee58667192042a58dcdbcee30dbf28,unknown,O_GU  GU - Unassigned Resources
0afdbaa9746fa97f2cc512bcca364536008bd10fbaf2088866e58ac388d2b187,unknown,O_GP1  People & Culture - Team
0be39c02d66b92d05217f336997f001a45611dd8b9c4409fe63cdd4140608cb9,unknown,O_GF21  Admin Team
103814bcd32329674525f1e3c02e6ea1aa325490a8b10195bc90e31ab4cd7893,unknown,O_GO461  Air Liquide Packaged - Drivers
16136d8b6147989ec1aa0e12954e35852f7c15e06a0b72e82b7b76634569ff8a,unknown,O_GO221  LH Yard - Team
1ecb201e98b9db93d20b42ce5f9ddd82fbceb6d11cb868eb97837015a26b4ceb,unknown,O_GO5  GO5 - Projects
240d76571b21cacbb93d27810148e960e7518e7eeec55bbc76db326eae3b93a8,unknown,O_GO13  Container Admin
2609fac1a659ac8e40905109e4c1b903c7ff98972e398eb7822f2eadc363dc79,unknown,O_GW1  Fab Shed
27efde74e87c7e9e393bc16396ba92bb5d48e1925dc0d61fd202dac06468da95,unknown,O_GO42  CCEP Perth
28627e36fe046b9b559e19bd1ea89a07984691785a72885f2303a00321c7ff14,unknown,O_GF1  Accounts
2907484f3cd8fde0fc073a037fdf8c37e9a047db014b8d35aa056402f1ac1111,unknown,O_GO51  CBH
29c52b7888aaf1a9f14410e31773530e4169b96695a4b1ae2ce8c932aac03643,unknown,O_GO44  CCEP South West
2bda7da94c7ef0c42eddd2e44acec177202db55453b11904018a008b45e71fda,unknown,O_GA1  Facilities
2c5a1db87ebf5e5fc76976661464f94802e9d05e3c2d37167993377a605a6709,unknown,O_GP  GP - People & Culture
2ca678cd2e0615ecfafaced0efa43a9aac6e78319123b0ab3a09e30ccfb5ffd4,unknown,O_GO721  Woolworths MTM - Workers
2d74cf136a6e9d53eb14e51a1361f51db76613241bbf706e019b8f45965e716a,unknown,O_GH3  Quality
339ff00df32f99cd161fc8b3857206a08e7dc2d105054ebcb5b66583acfad7df,unknown,O_GO34  Metro Distribution - Admin
38c5f9dc7c2dd0cc76b2e0aeaff1e4e2511a6dbc9c3d78417fdb04a57231f4ca,unknown,O_GO4  GO4 - Offsite
3b2507c2c2f5c12e4dac0e3b457cf40521133907db33967e187adec2d1838976,unknown,O_GS1  Sales - Team
3d325e3c24bf8d0f35335903251e95a8f9dcbd92b7af784be8588728d64d6388,unknown,O_GO411  Air Liquide Bulk - Drivers
3d4d344ec303901b48b7b1b501cecdbc1f1f8d86eda28920d8dd93a1fcfd4300,unknown,O_GO45  Offsite Support
3f8e27bb434ffaba95c6a10bbcb297cb4539ea72cff92dcf03f8d318fee1bfba,unknown,O_GO81  BBC - Workers
40500033249501168909630731afd1a52329c61d3b4cacd77c14ac531722a5c5,unknown,O_GO3341  SSAB Yard
42e89863caa2f97f76f6cd74763fda3c95b15c534ad43ae6089cb326d57abf8c,unknown,O_GO22  LH Yard
4c3e2572d58d112f4cac4ba3beb8182a911fa65fa1fbf0397b051bd755a5bce5,unknown,O_G  GS
4ca38f93e8d5934660f6c1dc033bec8f07e145abd0cc415ecd0ea828ce376318,unknown,O_GO333  Selection Steel
52741ba0fcc6d8cd465c489a4227daccd73bfe249f5a31892b43489fa05a766a,unknown,O_GO211  LH Transport - Drivers
5466e72a32f2ceea80de92e0eb957eff6e60ceb0f06d223e5c0e0e332ffb037e,unknown,O_GO2  GO2 - Long Haul
56bc228495baf20971ff7a663b43510fc7cdceaf28a4ac460ea2b665b4519f84,unknown,O_GO323  Distribution Adhoc
58431f0207f183eaed67f7c00f9b23a158638e55c88dc194d75ba7370fbf9b81,unknown,O_GT1  T&I Team
624e709f83167db3a4b6c8968f8aa80d3caf1f5a7b42aaa94e5d26490b34e764,unknown,O_GS  GS - Sales
62f6a901cf6c297c5db486904aa954aad462f3e70a07890490497dbb3a87eaf2,unknown,O_GO41  Air Liquide Bulk
6bae5beb011b6a0814d0441d76f7e8dfcfc8ec98d4c20ed94d795beb0f367e32,unknown,O_GH21  Training Team
6eb487523729b7196b4b5abfae3acf2205c5cc92d588bd800fe60a1e2eb09103,unknown,O_GU2  Casual
713a1da8adf0ccd80e21a7f80fd63ff6f960a1007b77e6a520aee6555e065c58,unknown,O_GO12  Container Yard
74e423f6e313e07f505d4a91750e4e8419acd59e5451b3b6024138d714e94802,unknown,O_GO332  Iplex
7516836f63864907fcb7cede7cfaa9d2945c13f1cfef97059bbe64781ffb6a79,unknown,O_GH11  HSEQ Team
755e0b56257ab72265576446b4abee1eb7c9ecbc04a5be04513ada90d6ccbd6e,unknown,O_GO46  Air Liquide Packaged
777dd5e22505668aace630abcba9c3c29ddc69baca7205101b1f91f1828da69b,unknown,O_GO321  Kimberly-Clark
7e8972e7a717b1d451bd7d7428407ff4585217a46548a3ecccedc5044cbdf673,unknown,O_GO31  Break Bulk
