TIP,VALUE
021f22fdaea6fbe57ab8954c6fa695c63885295b7fceee5bd0bdb7c880147c1f,Steel Delivery
02409bd3dd8355a53b3cef56e0eb6440b653bfad9579e7e602528db25cfbdc34,MB26
038a79f290e509ea612556610cfd1b411a1a2dbbff32ec2a3c478e4542026d17,D27
045c256e27e556dc2ad34173178e4e74b62673e3b271b079ae2d7075e254e9bf,RENTAL5
046028d45fc2c243f2ee3f5c2cce04e4228a0ae50f1f977b75eeb8dde50771bf,T107
046e24510cee913c360dbd7e5ca514b65b6c1e10e7a200f7de7cafd7f20fc3f0,TLD250
05be7a4adda50121a56b6bd06ba48602e1a699cc59fcdef83931c26709454966,T111
06124ec0c783b6355d0fa38f0f5c34b3ace4baf9800191ae8cad540096cc1f95,AL610
064f126a813b8dca8b673f80be50faec99f804b398eeb5118776dcc4a0d25c29,TLD279
06bb487ab61cbfd9e3c76af7625771df7b1953a3b952176e5ace851466dc4ec3,MB71
084473c6c37a37606e2f14bba260487d26aaeb866956fbe8450193c55ae0793c,T94
09a0d9aceecb8092e849c80c66a4918fb5a4a393198092996bfe45413964c18b,T139
0a3456a0c2362c6a0d8580587e693fb247004f3f5d5769a6817a2d6c051dadc6,MB86
0a9f590f670a741da850274a101edba17caff1a5c5d4c634eb30de18054db991,F52
0b5e7bd3e557acbb00e1dfd5c122c7dd3223088fc833cae2cf783c551c099236,T174
0d107307523f89d874e85bacce6e9125746a4cb29386f7e4dbfa362f4a44455b,MB74
0d1b60f77b09133bb9c8e29e623b678080d5ce78498f053a82b1a4785c98d79e,TL242
0d845a2b6d6fdfeb4ec583957a715eca35e918808ab72621bcf7b636232fb5ba,RC91
0dd26224d4fd82ceadf3d6284c45b2945a4d9b6354d70cf54a4e5aa8f33898c9,TEX264
0decc16be601edb6435dec18607a61e14c14b97b49085205690d33d93f742d7b,F56
0f2053e65b68a8448a5c7b93835e1203a7146dc6f5bd8d5c0ed2f149c6bf466a,MB80
0f829ca0f49c04f943b459c19c43af626cf93c55b975ec02ae2e0c2086af1adf,R47
0f8555dd34049e10a8ffd75f3450614fbb0988e95d94438c9251bac97edbbdd1,TSP304
0fb67f8376e0101349a32b9b9df8472796248aa257adb64627c8d48363e15caa,T91
103814bcd32329674525f1e3c02e6ea1aa325490a8b10195bc90e31ab4cd7893,Air Liquide Packaged - Drivers
10636fdf75e0a9879b6558083b0a634c1160a1cacd86ba57753f400aeae5889b,T84
111260d54e51387709fe70c5325eea7ee1e3f62adc26793617c872ee4b32b8cb,RENTR03
11a288a05078e972302851e46fa024fe2388451a9a9d5675cdf3b6b7a1776911,T10
12771469793780c8ddf96d2c01573e8bd7ba9f6067bb2a457d4bddfedf85169e,TL149
1439fa5ab3939ee286af556fcdfdda105fb154fcbc283477843ebdb94bc759bc,T115
148a565c7270ac0c448d5d214c9a0b2d1dbd46aa2e459ead169ed6891f3169cc,T109
155064e67a734ef3540f243c9852f54ac03bb2990e4bbb653fd1f5ddf91e24fc,T45
15aa58ea884a923c8b4df992b56c9d785a1728f837a1c05d41c9449a5089c55d,RF54
16136d8b6147989ec1aa0e12954e35852f7c15e06a0b72e82b7b76634569ff8a,LH Yard - Team
168290bdb329f799778ffb2a1aa5ea488f084ae4fa6e0841579fdd8c78cc3f37,T135
16e7394748ef3ff93542116a3c2a10fd9fb689f76b64cd98624f3d17b179683f,T38
17888bb4b4a36ba6a8a8776f0b1183cbfc7f179b910b91f1fd4cdc84740e2490,F35
192aef2e30c9915e53001c5f39fbc04a8523f182a3f3eb9157f79d92feb68385,F58
194b552056577b3ee7ec4f5935f60b0176a1b0bd61b15ed6d1d04671f2d42f1a,MB88
19dbf5db79d7d49778a9a16d18a41fd1d90cddaa0cfc798700607081cd40db85,RC72
1b151da35a95d2561f18961f535fb38911b54a644486674ea013d9497303b2eb,SL275
1b1fb2a78e056545aa28537f48638ffe6192373050391d3aac5534ad76e4cff2,MB21
1c434778c861f97a18e9608b88eba8eeb6af2f587856ad035cde32ca53ef84d9,RC83
1c9df8083d7ecfb3383ccc006993bc91d7316e6cdec583f06bcd686878c1a496,T127
1ee931e2786737905f05153c6d9a721c9bbc1b451a29292fadce379f8e7e58d6,RC87
1fedc8d7b5083ee616766af2612e97115c19d9c6b6037b7083e5b5dafa0d9ee4,AL1204
2154f8dea3499a64414141429f0c9c311b18f259b698e653def0542cc3c8bf7f,RC84
22bc9813ed4d6c0a46b0c96ff5e0a51af4db2fd579f107fe96e4e0807e0a416b,T164
23575ac82231e169e38aecb94c2a671a045fa8c8270ff31931457ec1003715ec,TSD247
235ca9778ba660cc832bdadcdbcabd88343566749fd1b93572eb6af04a6ff785,T225
2438351333b27f648622d69d03977b6dbc682fa60d0fec1037f59fd0270c66ac,T44
24cbba11e1a2f455ea6743fd366b5d08047dd8b56ad935e4a6595bad83bb7e30,TS256
257fa60a0de072fa1c97069173ec2bdf3f0344ba3a172b790c186970c7a88e1d,MB90
26d4b902018a4704f0d05344423e57ebd7d3de650b26ea6e69701e60da19dd1f,MAN03
26dbe9f9f74494cc68098ab0a38706e51bf947145839730d7f25bd7897e4e177,TS195
2907484f3cd8fde0fc073a037fdf8c37e9a047db014b8d35aa056402f1ac1111,CBH
2a41f286fca3b028234cb32e976d344fbe47bc3b694f158024e675626042da45,T112
2c139ee9b1ef4a9ef8506f15585a22166ad2fcc7686bda25781eb239b816cc4c,MB30
2ca678cd2e0615ecfafaced0efa43a9aac6e78319123b0ab3a09e30ccfb5ffd4,Woolworths MTM - Workers
2e130980d5e508d547711590977585afcfa0a037a9cbff9b29a9045127b8479c,VCT27
